,X,article.id,Keep,timestamp,coder,journal,year,jpsp.section,first.author,affiliation,specialization,citation,type,citations.number,study.number,sample.size,excluded.participants,expcor,design,conditions.number,predictors.number,dv.number,which.statistical.test,copied.statistic,df.numerator,df.denominator,test.statistic,p.exact,p.exact.value,drop.column,null.predicted,sigtests.number.reported,sigtests.number.significant,total.num.studies,effect.size.reported,effect.size,footnotes.number,additional.analyses,covariates.number,coding.difficulty,comments
1638,1638,638,1,8/12/2015 15:48,Coder5,Psych Science,2014,,Bronfman,Tel Aviv University,Neuroscience,"Bronfman, Z. Z., Brezis, N., Jacobson, H., & Usher, M. (2014). We See More Than We Can Report “Cost Free” Color Phenomenality Outside Focal Attention. Psychological science, 25(7), 1394-1403.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,2,9,0,"Experimental (i.e., all IVs were manipulated)",Within,2,1,4,t-test (t),"t(8) = −4.22, p = .003",,8,-4.22,Yes,0.003,,No,3,2,6,1,d= -1.4,0,Yes,0,Slightly Easy,"They alluded to more statistics in the supplementary materials, so the total number of sig tests for this study reported in text was quite low. "
1640,1640,638,1,8/12/2015 15:51,Coder5,Psych Science,2014,,Bronfman,Tel Aviv University,Neuroscience,"Bronfman, Z. Z., Brezis, N., Jacobson, H., & Usher, M. (2014). We See More Than We Can Report “Cost Free” Color Phenomenality Outside Focal Attention. Psychological science, 25(7), 1394-1403.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,3,9,0,"Experimental (i.e., all IVs were manipulated)",Within,all analyses in supplementary materials ,all analyses in supplementary materials ,4,all analyses in supplementary materials ,all analyses in supplementary materials ,,all analyses in supplementary materials ,,NA,,,,all analyses in supplementary materials ,all analyses in supplementary materials ,6,0,NA,0,Yes,all analyses in supplementary materials ,Very Easy,I couldn't code much because every analysis for this study was in the supplementary materials. 
1644,1644,638,1,8/12/2015 15:55,Coder5,Psych Science,2014,,Bronfman,Tel Aviv University,Neuroscience,"Bronfman, Z. Z., Brezis, N., Jacobson, H., & Usher, M. (2014). We See More Than We Can Report “Cost Free” Color Phenomenality Outside Focal Attention. Psychological science, 25(7), 1394-1403.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,4,6,0,"Experimental (i.e., all IVs were manipulated)",Within,all analyses in supplementary materials ,all analyses in supplementary materials ,4,all analyses in supplementary materials ,all analyses in supplementary materials ,,all analyses in supplementary materials ,,NA,,,,all analyses in supplementary materials ,all analyses in supplementary materials ,6,0,NA,0,Yes,all analyses in supplementary materials ,Very Easy,All analyses were in supplemental materials; no statistics reported in text. 
1646,1646,638,1,8/12/2015 16:01,Coder5,Psych Science,2014,,Bronfman,Tel Aviv University,Neuroscience,"Bronfman, Z. Z., Brezis, N., Jacobson, H., & Usher, M. (2014). We See More Than We Can Report “Cost Free” Color Phenomenality Outside Focal Attention. Psychological science, 25(7), 1394-1403.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,5,12,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,2,one-sample t-test,"t(11) = 8.3, p < .0005",,11,8.3,No,,,No,5,3,6,0,NA,1,Yes,0,Moderately Easy,
1647,1647,638,1,8/12/2015 16:04,Coder5,Psych Science,2014,,Bronfman,Tel Aviv University,Neuroscience,"Bronfman, Z. Z., Brezis, N., Jacobson, H., & Usher, M. (2014). We See More Than We Can Report “Cost Free” Color Phenomenality Outside Focal Attention. Psychological science, 25(7), 1394-1403.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,6,13,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,2,one-sample t-test,statistics in supplementary material,,,,NA,,,,statistics in supplementary materials,statistics in supplementary materials,6,0,NA,0,Yes,0,Very Easy,"Although the authors vaguely describe the analysis they did in this study, all the statistics were in the supplementary materials. "
1728,1728,171,1,8/14/2015 9:46,Coder5,PSPB,2014,,Brown(b),The University of Oklahoma,Social / Personality,"Brown, R. P., Imura, M., & Mayeux, L. (2014). Honor and the stigma of mental healthcare. Personality and social psychology bulletin, 0146167214536741.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,1,756,193,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,2,Multiple Regression (t -- for individual predictor),"t= 3.99, p < or = .01",,NA,3.99,No,,,No,10,4,3,0,NA,0,No,3,Moderately Easy,
1729,1729,171,1,8/14/2015 10:35,Coder5,PSPB,2014,,Brown(b),The University of Oklahoma,Social / Personality,"Brown, R. P., Imura, M., & Mayeux, L. (2014). Honor and the stigma of mental healthcare. Personality and social psychology bulletin, 0146167214536741.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,2,50,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,9,ANOVA (F),"F(1, 48) = 5.35, p < .03",1,48,5.35,No,,,No,20,12,3,0,NA,0,No,4,Slightly Difficult,
1730,1730,171,1,8/14/2015 10:45,Coder5,PSPB,2014,,Brown(b),The University of Oklahoma,Social / Personality,"Brown, R. P., Imura, M., & Mayeux, L. (2014). Honor and the stigma of mental healthcare. Personality and social psychology bulletin, 0146167214536741.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,3,50,0,"Correlational (i.e., IVs were measured and not manipulated)",,,,6,multilevel logistic regression,,,,,NA,,,,24,16,3,0,NA,2,No,,Neither Difficult nor Easy,
742,742,262,1,7/29/2015 12:56,Coder5,PSPB,2014,,Campbell,Clark University,Social / Personality,"Campbell, M., & Vollhardt, J. R. (2014). Fighting the Good Fight The Relationship Between Belief in Evil and Support for Violent Policies. Personality and social psychology bulletin, 40(1), 16-33.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,1,349,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,12,Multiple Regression (t -- for individual predictor),"t(296) = 7.78, p < .001",,296,7.78,No,,,No,84,29,4,0,,1,No,5,Slightly Difficult,degrees of freedom don't match up at all between the sample size and df for the primary analysis. 
752,752,262,1,7/29/2015 13:48,Coder5,PSPB,2014,,Campbell,Clark University,Social / Personality,"Campbell, M., & Vollhardt, J. R. (2014). Fighting the Good Fight The Relationship Between Belief in Evil and Support for Violent Policies. Personality and social psychology bulletin, 40(1), 16-33.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,2,357,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,12,Multiple Regression (t -- for individual predictor),"t(275) = 5.34, p < .001",,275,5.34,No,,,No,92,41,4,0,,1,No,7,Slightly Easy,degrees of freedom from the sample size and primary analysis don't match up.
755,755,262,1,7/29/2015 14:01,Coder5,PSPB,2014,,Campbell,Clark University,Social / Personality,"Campbell, M., & Vollhardt, J. R. (2014). Fighting the Good Fight The Relationship Between Belief in Evil and Support for Violent Policies. Personality and social psychology bulletin, 40(1), 16-33.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,3,232,0,"Correlational (i.e., IVs were measured and not manipulated)",,,,99!!,SEM,,,,,NA,,,,44,39,4,0,,0,No,,Moderately Difficult,"primary analysis was SEM, so I didn't code the primary analysis section. Also, because it was SEM, I was unsure of what to count as the total number of DV's, given that (I think) every variable was an outcome in their SEM models....."
757,757,262,1,7/29/2015 14:07,Coder5,PSPB,2014,,Campbell,Clark University,Social / Personality,"Campbell, M., & Vollhardt, J. R. (2014). Fighting the Good Fight The Relationship Between Belief in Evil and Support for Violent Policies. Personality and social psychology bulletin, 40(1), 16-33.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,4,239,0,"Correlational (i.e., IVs were measured and not manipulated)",,,,99!!,SEM,,,,,NA,,,,103,83,4,0,,0,No,,Slightly Difficult,"Primary analysis was SEM, so I didn't code any info for the primary analysis. I was unsure of the total number of DV's, given that this was SEM, and it seemed like everything was a DV."
516,516,186,1,7/17/2015 14:36,Coder5,Psych Science,2013,,Caravolas,Bangor University ,Experimental Psychology,"Caravolas, M., Lervåg, A., Defior, S., Málková, G. S., & Hulme, C. (2013). Different patterns, but equivalent predictors, of growth in reading in consistent and inconsistent orthographies. Psychological Science, 0956797612473122.","Original Research (i.e., any study with data that is NOT a meta-analysis)",30,1,523,0,"Correlational (i.e., IVs were measured and not manipulated)",,NA,NA,9,"three-group, unconditional latent-growth model",,,,,NA,,,,26,20,1,0,,1,Yes,,Moderately Difficult,"This analysis was latent growth analysis, so I am not very confident in my counting of the significance tests. "
1096,1096,516,1,8/7/2015 11:36,Coder5,JPSP,2004,Attitudes and Social Cognition,Cesario,Columbia University ,Social / Personality,"Cesario, J., Grant, H., & Higgins, E. T. (2004). Regulatory fit and persuasion: Transfer from"" feeling right."". Journal of personality and social psychology, 86(3), 388.","Original Research (i.e., any study with data that is NOT a meta-analysis)",565,1,106,0,"Experimental (i.e., all IVs were manipulated)",Between,4,2,2,ANOVA (F),"F(1, 102) =􏰀 3.88, p 􏰀= .05",1,102,3.88,Yes,0.05,,No,9,2,4,0,,1,No,0,Moderately Easy,
1098,1098,516,1,8/7/2015 11:44,Coder5,JPSP,2004,Attitudes and Social Cognition,Cesario,Columbia University ,Social / Personality,"Cesario, J., Grant, H., & Higgins, E. T. (2004). Regulatory fit and persuasion: Transfer from"" feeling right."". Journal of personality and social psychology, 86(3), 388.","Original Research (i.e., any study with data that is NOT a meta-analysis)",565,2,86,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,4,2,5,ANOVA (F),"F(1, 82) =􏰀 4.04, p <􏰂 .05",1,82,4.04,No,,,,17,8,4,0,,1,No,0,Slightly Easy,
1106,1106,516,1,8/7/2015 11:54,Coder5,JPSP,2004,Attitudes and Social Cognition,Cesario,Columbia University ,Social / Personality,"Cesario, J., Grant, H., & Higgins, E. T. (2004). Regulatory fit and persuasion: Transfer from"" feeling right."". Journal of personality and social psychology, 86(3), 388.","Original Research (i.e., any study with data that is NOT a meta-analysis)",565,3,139,17,"Experimental (i.e., all IVs were manipulated)",Between,4,2,9,ANOVA (F),"F(1, 118) 􏰀= 4.89, p <􏰂 .03",1,118,4.89,No,,,No,27,10,4,0,,0,No,0,Neither Difficult nor Easy,
1113,1113,516,1,8/7/2015 12:06,Coder5,JPSP,2004,Attitudes and Social Cognition,Cesario,Columbia University ,Social / Personality,"Cesario, J., Grant, H., & Higgins, E. T. (2004). Regulatory fit and persuasion: Transfer from"" feeling right."". Journal of personality and social psychology, 86(3), 388.","Original Research (i.e., any study with data that is NOT a meta-analysis)",565,4,99,5,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,4,4,10,Multiple Regression (t -- for individual predictor)," t(85)= 􏰀 􏰅2.66, p 􏰀= .009",,85,2.66,Yes,0.009,,No,34,6,4,0,,1,No,0,Neither Difficult nor Easy,
1142,1142,509,1,8/7/2015 13:46,Coder5,JESP,2014,,Chen(b),"University of California, Davis",Social / Personality,"Chen, J. M., Banerji, I., Moons, W. G., & Sherman, J. W. (2014). Spontaneous social role inferences. Journal of Experimental Social Psychology, 55, 146-153.","Original Research (i.e., any study with data that is NOT a meta-analysis)",0,1,46,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,2,paired samples t-test,"t(45)= 3.69,p < .001",,45,3.69,No,,,No,2,2,3,1,d = 1.10,0,No,0,Very Easy,
1144,1144,509,1,8/7/2015 13:54,Coder5,JESP,2014,,Chen(b),"University of California, Davis",Social / Personality,"Chen, J. M., Banerji, I., Moons, W. G., & Sherman, J. W. (2014). Spontaneous social role inferences. Journal of Experimental Social Psychology, 55, 146-153.","Original Research (i.e., any study with data that is NOT a meta-analysis)",0,2,99,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,3,paired samples t test," t(98) = 7.63, p < .001",,98,7.63,No,,,No,3,3,3,1,d = 1.54,3,No,0,Very Easy,
1148,1148,509,1,8/7/2015 14:03,Coder5,JESP,2014,,Chen(b),"University of California, Davis",Social / Personality,"Chen, J. M., Banerji, I., Moons, W. G., & Sherman, J. W. (2014). Spontaneous social role inferences. Journal of Experimental Social Psychology, 55, 146-153.","Original Research (i.e., any study with data that is NOT a meta-analysis)",0,3,78,0,"Experimental (i.e., all IVs were manipulated)",Mixed,4,2,5,ANOVA (F),"F(1,74) = 2.78, p = .10",1,74,2.78,Yes,0.1,,Yes,13,5,3,1,partial eta squared= .04,1,No,0,Slightly Easy,
659,659,297,1,7/23/2015 12:59,Coder5,JPSP,2003,Attitudes and Social Cognition,Choi,Seoul National University,Social / Personality,"Choi, I., Dalal, R., Kim-Prieto, C., & Park, H. (2003). Culture and judgement of causal relevance. Journal of personality and social psychology, 84(1), 46.","Original Research (i.e., any study with data that is NOT a meta-analysis)",159,1,153,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,0,1,1,ANOVA (F),"F(2, 147) =􏰀 8.09, p <􏰁 .001",2,147,8.09,No,,,No,18,13,4,0,,0,No,0,Slightly Easy,
660,660,297,1,7/23/2015 15:07,Coder5,JPSP,2003,Attitudes and Social Cognition,Choi,Seoul National University,Social / Personality,"Choi, I., Dalal, R., Kim-Prieto, C., & Park, H. (2003). Culture and judgement of causal relevance. Journal of personality and social psychology, 84(1), 46.","Original Research (i.e., any study with data that is NOT a meta-analysis)",159,2,136,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,0,1,1,ANOVA (F),"F(2, 130) 􏰀= 11.31, p <􏰁 .001",2,130,11.31,No,,,No,15,9,4,0,,0,No,0,Moderately Easy,key test statistic was a main effect of a measured variable (race)
661,661,297,1,7/23/2015 15:25,Coder5,JPSP,2003,Attitudes and Social Cognition,Choi,Seoul National University,Social / Personality,"Choi, I., Dalal, R., Kim-Prieto, C., & Park, H. (2003). Culture and judgement of causal relevance. Journal of personality and social psychology, 84(1), 46.","Original Research (i.e., any study with data that is NOT a meta-analysis)",159,3,169,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,0,1,2,Basic Correlation (r),"r(169) =􏰀 .30, p <􏰁 .001",,169,0.3,No,,,No,15,13,4,0,,2,No,0,Neither Difficult nor Easy,"the primary hypothesis was a mediation, but we aren't supposed to code that as the primary analysis. I instead reported here the correlation between two key variables that preceded the mediation analysis. "
662,662,297,1,7/23/2015 15:36,Coder5,JPSP,2003,Attitudes and Social Cognition,Choi,Seoul National University,Social / Personality,"Choi, I., Dalal, R., Kim-Prieto, C., & Park, H. (2003). Culture and judgement of causal relevance. Journal of personality and social psychology, 84(1), 46.","Original Research (i.e., any study with data that is NOT a meta-analysis)",159,4,204,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,,,3,path analysis ,,,,,NA,,,,25,16,4,0,,0,No,,Neither Difficult nor Easy,"primary analysis was SEM, so I left primary analysis questions blank. I answered the overall questions, though."
758,758,271,1,7/29/2015 14:11,Coder5,Psych Science,2003,,Colcombe,University of Illinois at Urbana-Champaign,Neuroscience,"Colcombe, S., & Kramer, A. F. (2003). Fitness effects on the cognitive function of older adults a meta-analytic study. Psychological science, 14(2), 125-130.",Meta-analysis,2062,,,,,,,,,,,,,,NA,,,,,,NA,0,,,No,,,
438,438,170,1,7/15/2015 14:39,Coder5,JPSP,2013,Personality Processes and Individual Differences,Crum,Yale University,Social / Personality,"Crum, A. J., Salovey, P., & Achor, S. (2013). Rethinking stress: The role of mindsets in determining the stress response. Journal of Personality and Social Psychology, 104(4), 716.","Original Research (i.e., any study with data that is NOT a meta-analysis)",63,1,388,0,"Correlational (i.e., IVs were measured and not manipulated)",Between,NA,NA,,correlations; factor analysis,,,,,NA,,,,,,3,0,,1,No,,Very Easy,scale validation study-- primary analysis that was reported only contained correlations and factor analysis.
445,445,170,1,7/15/2015 14:59,Coder5,JPSP,2013,Personality Processes and Individual Differences,Crum,Yale University,Social / Personality,"Crum, A. J., Salovey, P., & Achor, S. (2013). Rethinking stress: The role of mindsets in determining the stress response. Journal of Personality and Social Psychology, 104(4), 716.","Original Research (i.e., any study with data that is NOT a meta-analysis)",63,2,388,0,"Experimental (i.e., all IVs were manipulated)",Mixed,2,2,3,ANOVA (F),"F(1, 261) = 27.39, p < .001",1,261,27.39,No,,,No,20,11,3,1,eta squared= .17,2,No,0,Moderately Easy,
453,453,170,1,7/15/2015 15:32,Coder5,JPSP,2013,Personality Processes and Individual Differences,Crum,Yale University,Social / Personality,"Crum, A. J., Salovey, P., & Achor, S. (2013). Rethinking stress: The role of mindsets in determining the stress response. Journal of Personality and Social Psychology, 104(4), 716.","Original Research (i.e., any study with data that is NOT a meta-analysis)",63,3,63,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,5,2,Multiple Regression (t -- for individual predictor),"t(58) = 2.21, p < .05",1,58,2.21,No,,,No,5,3,3,0,NA,1,No,2,Slightly Easy,
65,65,26,1,6/11/2015 12:18,Coder5,JESP,2014,,Crusius,University of Cologne,Social / Personality,"Crusius, J., & Lange, J. (2014). What catches the envious eye? Attentional biases within malicious and benign envy. Journal of Experimental Social Psychology, 55, 1-11.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,1,96,12,"Experimental (i.e., all IVs were manipulated)",Mixed,2,2,2,ANOVA (F),"F(1, 82) = 4.39, p = .04",1,82,4.39,Yes,0.04,,,8,5,3,1,partial eta-squared = .05,4,No,0,Neither Difficult nor Easy,
66,66,26,1,6/11/2015 12:34,Coder5,JESP,2014,,Crusius,University of Cologne,Social / Personality,"Crusius, J., & Lange, J. (2014). What catches the envious eye? Attentional biases within malicious and benign envy. Journal of Experimental Social Psychology, 55, 1-11.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,2,81,3,"Experimental (i.e., all IVs were manipulated)",Mixed,2,3,2,ANOVA (F),"F(1, 76) = 5.71, p = .02",76,1,5.71,Yes,0.02,,,14,8,3,1,partial eta-squared = .07,4,Yes,0,Slightly Difficult,
67,67,26,1,6/11/2015 12:49,Coder5,JESP,2014,,Crusius,University of Cologne,Social / Personality,"Crusius, J., & Lange, J. (2014). What catches the envious eye? Attentional biases within malicious and benign envy. Journal of Experimental Social Psychology, 55, 1-11.","Original Research (i.e., any study with data that is NOT a meta-analysis)",6,3,109,5,"Experimental (i.e., all IVs were manipulated)",Mixed,2,2,2,ANOVA (F),"F(1, 102) = 4.32, p = .04",1,102,4.32,Yes,0.04,,,8,4,3,1,η2p = .04,1,No,0,Moderately Easy,
1159,1159,557,1,8/7/2015 14:46,Coder5,PSPB,2013,,Davis,Texas A&M University ,Social / Personality,"Davis, W. E., & Hicks, J. A. (2013). Maintaining hope at the 11th hour authenticity buffers the effect of limited time perspective on hope. Personality and Social Psychology Bulletin, 0146167213500150.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,1,256,2,"Correlational (i.e., IVs were measured and not manipulated)",,1,3,6,Multiple Regression (t -- for individual predictor),"β = −.166, p < .001",,,,No,,,No,22,19,4,1,R2 change = .027,0,No,0,Neither Difficult nor Easy,
1163,1163,557,1,8/7/2015 14:59,Coder5,PSPB,2013,,Davis,Texas A&M University ,Social / Personality,"Davis, W. E., & Hicks, J. A. (2013). Maintaining hope at the 11th hour authenticity buffers the effect of limited time perspective on hope. Personality and Social Psychology Bulletin, 0146167213500150.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,2a,124,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,3,3,Multiple Regression (t -- for individual predictor),"β = .286, p = .037",,,,Yes,0.037,,No,12,4,4,1,R2 change = .020,0,No,0,Moderately Easy,
1167,1167,557,1,8/7/2015 15:10,Coder5,PSPB,2013,,Davis,Texas A&M University ,Social / Personality,"Davis, W. E., & Hicks, J. A. (2013). Maintaining hope at the 11th hour authenticity buffers the effect of limited time perspective on hope. Personality and Social Psychology Bulletin, 0146167213500150.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,2b,156,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,3,3,Multiple Regression (t -- for individual predictor),"β = .304, p = .024",,,,Yes,0.024,,No,12,7,4,1,R2 change = .023,0,No,0,Very Easy,
1173,1173,557,1,8/7/2015 15:23,Coder5,PSPB,2013,,Davis,Texas A&M University ,Social / Personality,"Davis, W. E., & Hicks, J. A. (2013). Maintaining hope at the 11th hour authenticity buffers the effect of limited time perspective on hope. Personality and Social Psychology Bulletin, 0146167213500150.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,3,242,23,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,1,3,7,Multiple Regression (t -- for individual predictor),"β = .353, p = .013",,,,Yes,0.013,,No,32,19,4,1,R2 change = .023,2,No,0,Slightly Difficult,
1320,1320,598,1,8/10/2015 12:29,Coder5,JPSP,2013,Interpersonal Relations and Group Processes,DelPriore,Texas Christian University ,Experimental,"DelPriore, D. J., & Hill, S. E. (2013). The effects of paternal disengagement on women’s sexual decision making: An experimental approach. Journal of personality and social psychology, 105(2), 234.","Original Research (i.e., any study with data that is NOT a meta-analysis)",4,1,75,10,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,ANOVA (F),"F(1, 73) =􏰂 4.51, p 􏰂= .037",1,73,4.51,Yes,0.037,,No,1,1,5,1,d = 0.49,0,No,0,Very Easy,
